postId,condition,fadeDelay,visited,revisit,time_for_charts
ijxng0jy,fade,800,38,3,61038
ijxocrdd,nofade,800,15,1,24572
ijxkh7z3,fade,800,24,13,129898
ijuna1z5,nofade,800,25,1,34976
ijxkj35e,fade,800,26,3,101993
ijupbvha,nofade,800,33,8,85862
ijxkom75,nofade,800,14,3,75612
ijxkje50,fade,800,9,0,29100
iju40ou8,nofade,800,2,0,2717
ijxkvox8,nofade,800,6,0,11603
ijxutfwg,fade,800,13,3,36169
ijxm1rd3,fade,800,10,8,44699
ijxllq8t,fade,800,28,4,200775
ijxm5g6a,fade,800,33,5,57783
ijxkuith,fade,800,12,10,33235
ijxlvzoc,fade,800,4,0,10652
ijulnme4,nofade,800,39,5,58258
ijxn0d24,fade,800,66,15,166209
ijxlezn6,nofade,800,23,3,68626
ijuocv3f,fade,800,21,5,43760
ijrnjv56,nofade,800,38,10,282562
ijxm05jr,fade,800,34,8,138589
ijsfy048,nofade,800,10,1,19554
ijxm0d32,fade,800,31,1,65017
ijwwarti,nofade,800,22,14,177543
ijxm51w7,nofade,800,23,8,51248
ijxltf6k,nofade,800,54,6,143892
ijxljjts,nofade,800,21,2,38936
ijxkaqd0,nofade,800,15,0,35856
ijrfxi72,nofade,800,20,1,104111
ijxkf73o,fade,800,29,4,229311
ijxmt9nv,fade,800,11,0,52973
ijrqmknx,nofade,800,8,2,16669
ijxlnrw6,fade,800,40,14,125025
ijv1zdvc,fade,800,14,3,44409
ijumease,nofade,800,32,17,229271
ijxlt0gz,fade,800,48,5,219636
ijxkb2ks,nofade,800,25,5,48640
ijxkbn9k,nofade,800,26,1,39315
ijrfe0cr,nofade,800,15,1,21519
ijxmbgo5,nofade,800,21,2,38133
ijxlt758,fade,800,78,32,202822
ijx3ywxz,nofade,800,12,4,39777
ijs2piwn,nofade,800,14,0,56830
ijukwsno,fade,800,31,18,270085
ijrfpvvn,fade,800,49,11,319914
ijxmtiwu,nofade,800,27,8,88345
ijxvezi3,fade,800,13,3,26904
ijxkm495,nofade,800,18,2,31331
ijrfv5c7,nofade,800,25,3,98209
ijxlb14a,nofade,800,2,0,14515
ijxlaz0x,fade,800,13,2,87486
ijxkcqql,fade,800,32,4,105656
ijxv0ebx,fade,800,5,0,18411
ijxmpcvq,fade,800,16,2,35164
ijxnhvr2,fade,800,109,85,557617
ijxmey8d,fade,800,20,3,41085
ijxm7dhv,nofade,800,47,20,350895
ijxktq52,fade,800,28,14,115151
ijukblod,fade,800,39,4,59172
ijun0xd2,fade,800,17,4,134152
ijxm1wp7,fade,800,4,8,156281
ijxkk7ps,nofade,800,15,1,36355
ijumjsit,nofade,800,29,6,61458
ijxl4t8x,nofade,800,12,2,91234
ijxkayde,fade,800,54,22,237724
ijxl7h5g,fade,800,12,1,77756
ijxncdi8,fade,800,14,4,84110
ijxko817,nofade,800,9,1,22779
ijxv0b1p,fade,800,40,4,291261
ijxmrf24,fade,800,25,3,64121
ijxldi5s,nofade,800,41,6,103827
ijvoqj2w,nofade,800,15,3,55249
ijuplzt3,nofade,800,13,4,65279
ijxlazp2,nofade,800,1,0,2114
ijxkfflw,nofade,800,19,17,99461
ijxvjtd1,fade,800,42,6,59843
ijw9whjt,fade,800,52,6,172535
ijri1lgj,fade,800,59,12,108869
ijxktc2j,fade,800,34,15,150625
ijub8fhn,nofade,800,22,1,47950
ijxlgskp,fade,800,85,48,759034
ijveiilr,fade,800,5,0,11170
ijxlcvhn,fade,800,7,3,17429
ijvbpvw2,fade,800,11,1,14948
ijxm61cu,nofade,800,22,11,93294
iju1st53,nofade,800,28,4,43483
ijx32i0k,fade,800,11,1,42485
ijxmo3ts,fade,800,54,7,160550
ijxkd5ch,fade,800,20,1,43270
ijxkpqsp,fade,800,14,4,106368
ijri9ng5,nofade,800,54,37,447029
ijxl9iou,nofade,800,5,0,4897
ijxqfq7g,nofade,800,17,2,47893
ijutzvk9,nofade,800,32,5,87365
ijxmgcw8,fade,800,19,2,89581
ijulzc3c,nofade,800,7,0,34935
ijrhzbcl,fade,800,51,8,102171
ijxkxfr2,nofade,800,8,1,12020
ijuq4m95,nofade,800,16,0,48722
ijxkbmcb,fade,800,33,3,57025
ijxlj8ri,fade,800,8,1,12830
ijvkmd6k,fade,800,7,0,7972
ijxlp265,nofade,800,22,0,31798
ijxmdj47,nofade,800,32,3,67213
ijxkfeed,nofade,800,30,7,72939
ijxm604d,nofade,800,45,16,176370
ijuknkfj,nofade,800,16,3,30072
ijw9upne,nofade,800,21,2,50864
ijulss6j,nofade,800,7,2,359830
ijxm2s1l,fade,800,4,0,10207
ijxmlo5c,fade,800,29,2,109742
ijuk9mem,nofade,800,8,0,22747
ijxkboqf,fade,800,15,8,67016
ijxv2erc,fade,800,28,13,285109
